"B0 AOI1";;;;;;;;;;
"Index [1]";"X [mm]";"Y [mm]";"Z [mm]";"U [mm]";"V [mm]";"W [mm]";"Sigma_X [mm]";"Sigma_Y [mm]";"Sigma_Z [mm]";"sigma [pixel]"
0;-349,2531433105469;137,4313507080078;41009,44921875;0,0;0,0;0,0;0,3830501139163971;0,13807065784931183;0,10744345933198929;0,008823529817163944
1;-349,2531433105469;137,4313507080078;41009,44921875;9,842995643615723;-47,589927673339844;0,17932982742786407;0,5321325063705444;0,1919454038143158;0,16387803852558136;0,006792211439460516
2;-349,2531433105469;137,4313507080078;41009,44921875;21,12244415283203;-86,33773803710938;1,1960532665252686;0,5067079663276672;0,18424776196479797;0,1573929339647293;0,0062779574654996395
3;-349,2531433105469;137,4313507080078;41009,44921875;14,090283393859863;-94,86988067626953;-1,2317166328430176;0,5082619190216064;0,18644452095031738;0,15872354805469513;0,006375775206834078
4;-349,2531433105469;137,4313507080078;41009,44921875;22,887765884399414;-99,65690612792969;-0,9582349061965942;0,49251753091812134;0,18208512663841248;0,15409676730632782;0,006010411307215691
5;-349,2531433105469;137,4313507080078;41009,44921875;-78,92130279541016;-79,27833557128906;-14,885497093200684;0,49560102820396423;0,18388554453849792;0,15453913807868958;0,006074744742363691
6;-349,2531433105469;137,4313507080078;41009,44921875;-83,33684539794922;-60,276554107666016;-15,709192276000977;0,48931804299354553;0,18299630284309387;0,15280473232269287;0,005944979842752218
7;-349,2531433105469;137,4313507080078;41009,44921875;-126,14836120605469;-24,771099090576172;-22,328758239746094;0,49178433418273926;0,1856282502412796;0,15391793847084045;0,006049569696187973
8;-349,2531433105469;137,4313507080078;41009,44921875;-101,09420013427734;25,582809448242188;-19,613218307495117;0,5053091049194336;0,1910889893770218;0,15748070180416107;0,006372362375259399
9;-349,2531433105469;137,4313507080078;41009,44921875;-165,68006896972656;84,1563491821289;-28,286556243896484;0,5086381435394287;0,19312717020511627;0,15819573402404785;0,006460852921009064
10;-349,2531433105469;137,4313507080078;41009,44921875;-198,9602508544922;131,52284240722656;-33,059181213378906;0,5298457741737366;0,201191708445549;0,16401171684265137;0,006957351695746183
11;-349,2531433105469;137,4313507080078;41009,44921875;-287,34112548828125;140,23350524902344;-44,78981018066406;0,5262316465377808;0,20111706852912903;0,16285550594329834;0,006899672094732523
12;-349,2531433105469;137,4313507080078;41009,44921875;-314,1545104980469;176,8375701904297;-49,27230453491211;0,5001956224441528;0,19560496509075165;0,15633004903793335;0,006379749625921249
13;-349,2531433105469;137,4313507080078;41009,44921875;-297,4955139160156;227,63079833984375;-47,775733947753906;0,5167701244354248;0,20309804379940033;0,16120991110801697;0,006796623580157757
14;-349,2531433105469;137,4313507080078;41009,44921875;-377,7254638671875;246,80996704101562;-58,916988372802734;0,5166844725608826;0,203828826546669;0,1607811152935028;0,0068131256848573685
15;-349,2531433105469;137,4313507080078;41009,44921875;-412,139892578125;302,6087646484375;-64,21502685546875;0,5223925709724426;0,2065008580684662;0,1620132327079773;0,006959457881748676
16;-349,2531433105469;137,4313507080078;41009,44921875;-430,3227844238281;325,3330078125;-67,08895874023438;0,5348646640777588;0,21071219444274902;0,16483981907367706;0,007240604609251022
17;-349,2531433105469;137,4313507080078;41009,44921875;-467,65789794921875;367,2038879394531;-72,9262466430664;0,5164206624031067;0,20821647346019745;0,16040925681591034;0,006900368258357048
18;-349,2531433105469;137,4313507080078;41009,44921875;-533,4868774414062;366,7499084472656;-81,4489517211914;0,5243278741836548;0,21208710968494415;0,16240045428276062;0,007109637837857008
19;-349,2531433105469;137,4313507080078;41009,44921875;-604,0852661132812;378,1510925292969;-91,54383850097656;0,538581907749176;0,21768298745155334;0,16602668166160583;0,007453043945133686
20;-349,2531433105469;137,4313507080078;41009,44921875;-564,9834594726562;381,5318908691406;-86,06317901611328;0,5134902596473694;0,2098580151796341;0,1584443747997284;0,006906847003847361
21;-349,2531433105469;137,4313507080078;41009,44921875;-489,350830078125;385,76556396484375;-77,32218933105469;0,5342574715614319;0,21835337579250336;0,1641160100698471;0,0074064903892576694
22;-349,2531433105469;137,4313507080078;41009,44921875;-597,2491455078125;368,8653869628906;-91,11711883544922;0,5275498032569885;0,21615859866142273;0,1615886390209198;0,007275100331753492
23;-349,2531433105469;137,4313507080078;41009,44921875;-481,8312683105469;388,642333984375;-76,4384765625;0,5478509068489075;0,22380076348781586;0,16684915125370026;0,007745457347482443
24;-349,2531433105469;137,4313507080078;41009,44921875;-572,525390625;373,33331298828125;-88,31488800048828;0,5303511023521423;0,218094602227211;0,16137300431728363;0,007378745824098587
25;-349,2531433105469;137,4313507080078;41009,44921875;-484,1642761230469;392,7244873046875;-76,8785400390625;0,5641019940376282;0,22962911427021027;0,17016039788722992;0,008133681491017342
26;-349,2531433105469;137,4313507080078;41009,44921875;-501,4837341308594;388,50921630859375;-79,34069061279297;0,5609798431396484;0,2280496060848236;0,168464794754982;0,008071880787611008
27;-349,2531433105469;137,4313507080078;41009,44921875;-546,7029418945312;378,9250183105469;-85,66252136230469;0,5551993250846863;0,22857539355754852;0,16701093316078186;0,008010972291231155
28;-349,2531433105469;137,4313507080078;41009,44921875;-494,47674560546875;396,40460205078125;-78,61141204833984;0,5750011205673218;0,23413056135177612;0,17149485647678375;0,008434422314167023
29;-349,2531433105469;137,4313507080078;41009,44921875;-487,5032958984375;417,4170227050781;-78,22396850585938;0,566663384437561;0,23920688033103943;0,17099900543689728;0,008397161960601807
30;-349,2531433105469;137,4313507080078;41009,44921875;-426,9933166503906;423,1740417480469;-70,69190216064453;0,5847553610801697;0,24271951615810394;0,17454315721988678;0,00877025630325079
31;-349,2531433105469;137,4313507080078;41009,44921875;-419,8071594238281;430,8877258300781;-69,78672790527344;0,5746824145317078;0,24009139835834503;0,17141211032867432;0,008589761331677437
32;-349,2531433105469;137,4313507080078;41009,44921875;-348,4273376464844;424,05133056640625;-60,615020751953125;0,5984615087509155;0,24832892417907715;0,17739133536815643;0,009119683876633644
33;-349,2531433105469;137,4313507080078;41009,44921875;-443,55120849609375;388,23724365234375;-72,50286865234375;0,59673672914505;0,2489238828420639;0,17672953009605408;0,009132502600550652
34;-349,2531433105469;137,4313507080078;41009,44921875;-433,2886657714844;395,9851989746094;-71,41564178466797;0,5949445962905884;0,2506738007068634;0,17638666927814484;0,009154260158538818
35;-349,2531433105469;137,4313507080078;41009,44921875;-323,44305419921875;405,228759765625;-57,398921966552734;0,5808877944946289;0,2440492957830429;0,1714881956577301;0,00885048322379589
36;-349,2531433105469;137,4313507080078;41009,44921875;-320,0130920410156;410,65228271484375;-57,048072814941406;0,5908394455909729;0,2507358193397522;0,17465278506278992;0,009139110334217548
37;-349,2531433105469;137,4313507080078;41009,44921875;-259,60369873046875;418,1472473144531;-49,05288314819336;0,606871485710144;0,2511937618255615;0,17715610563755035;0,009432177990674973
38;-349,2531433105469;137,4313507080078;41009,44921875;-261,24212646484375;428,92498779296875;-49,26472091674805;0,5987478494644165;0,25486472249031067;0,1762993484735489;0,009385892190039158
39;-349,2531433105469;137,4313507080078;41009,44921875;-246,0085906982422;440,9761657714844;-47,14493179321289;0,6003311276435852;0,2524906396865845;0,17554473876953125;0,009410999715328217
40;-349,2531433105469;137,4313507080078;41009,44921875;-224,75059509277344;458,4721984863281;-44,95414352416992;0,6119583249092102;0,2570737600326538;0,1785077452659607;0,009698526002466679
41;-349,2531433105469;137,4313507080078;41009,44921875;-232,9959259033203;438,4162902832031;-45,67803955078125;0,6177396178245544;0,2513663172721863;0,1777513176202774;0,009724237956106663
42;-349,2531433105469;137,4313507080078;41009,44921875;-274,2571716308594;429,96466064453125;-50,549495697021484;0,5927669405937195;0,25239670276641846;0,173242449760437;0,009387870319187641
43;-349,2531433105469;137,4313507080078;41009,44921875;-285,4451599121094;428,24951171875;-52,199588775634766;0,6134584546089172;0,2578565180301666;0,17818020284175873;0,00984195340424776
44;-349,2531433105469;137,4313507080078;41009,44921875;-215,6619873046875;438,0601806640625;-43,19118881225586;0,6162279844284058;0,25887566804885864;0,17872542142868042;0,009933355264365673
45;-349,2531433105469;137,4313507080078;41009,44921875;-325,0899658203125;398,2147521972656;-56,993125915527344;0,6208962798118591;0,25964295864105225;0,1796446144580841;0,010063654743134975
46;-349,2531433105469;137,4313507080078;41009,44921875;-312,72943115234375;403,44256591796875;-54,754520416259766;0,6160975694656372;0,25661274790763855;0,17787307500839233;0,009975467808544636
47;-349,2531433105469;137,4313507080078;41009,44921875;-379,72412109375;396,659423828125;-63,529415130615234;0,6178212761878967;0,2591701149940491;0,1787637621164322;0,010086070746183395
48;-349,2531433105469;137,4313507080078;41009,44921875;-369,8359069824219;430,3341064453125;-62,777183532714844;0,6321442127227783;0,2690739631652832;0,18381810188293457;0,010498506017029285
49;-349,2531433105469;137,4313507080078;41009,44921875;-394,4001159667969;457,64263916015625;-65,45845794677734;0,6324962973594666;0,26470914483070374;0,1827981323003769;0,01048395223915577
50;-349,2531433105469;137,4313507080078;41009,44921875;-412,6903076171875;465,203857421875;-67,71176147460938;0,6320632100105286;0,2698134481906891;0,18398500978946686;0,010587019845843315
51;-349,2531433105469;137,4313507080078;41009,44921875;-393,5107727050781;470,4760437011719;-64,98493194580078;0,6199038624763489;0,2577867805957794;0,17884333431720734;0,01025156769901514
52;-349,2531433105469;137,4313507080078;41009,44921875;-410,3994140625;462,40576171875;-67,21006774902344;0,6298074126243591;0,26797428727149963;0,18324710428714752;0,010605324991047382
53;-349,2531433105469;137,4313507080078;41009,44921875;-390,8999938964844;457,3478088378906;-64,82682037353516;0,6277119517326355;0,2672426700592041;0,18278580904006958;0,01059903297573328
54;-349,2531433105469;137,4313507080078;41009,44921875;-426,7843322753906;430,4403381347656;-69,24181365966797;0,6172101497650146;0,2638171911239624;0,18013273179531097;0,010417990386486053
55;-349,2531433105469;137,4313507080078;41009,44921875;-524,7916870117188;398,81146240234375;-80,9531021118164;0,6288814544677734;0,2650037109851837;0,18285569548606873;0,010678613558411598
56;-349,2531433105469;137,4313507080078;41009,44921875;-484,6627197265625;436,8149108886719;-76,8423843383789;0,6035656332969666;0,2572889029979706;0,17636904120445251;0,010180110111832619
57;-349,2531433105469;137,4313507080078;41009,44921875;-613,416748046875;414,6750183105469;-92,87960052490234;0,6175968050956726;0,2610029876232147;0,18021275103092194;0,010518504306674004
58;-349,2531433105469;137,4313507080078;41009,44921875;-597,5687255859375;447,9078369140625;-90,34335327148438;0,6180263757705688;0,2631118893623352;0,1810273826122284;0,010591225698590279
59;-349,2531433105469;137,4313507080078;41009,44921875;-639,1182861328125;464,2335510253906;-96,79248809814453;0,6087513566017151;0,25517967343330383;0,1776905506849289;0,010364485904574394
60;-349,2531433105469;137,4313507080078;41009,44921875;-639,0606079101562;471,6527099609375;-96,44519805908203;0,6125724911689758;0,2551807761192322;0,17874734103679657;0,010466436855494976
61;-349,2531433105469;137,4313507080078;41009,44921875;-667,563232421875;466,91949462890625;-100,24757385253906;0,6025715470314026;0,2516630291938782;0,17629510164260864;0,010286495089530945
62;-349,2531433105469;137,4313507080078;41009,44921875;-628,3488159179688;467,96954345703125;-94,5903091430664;0,5932908654212952;0,24667440354824066;0,17364822328090668;0,010086516849696636
63;-349,2531433105469;137,4313507080078;41009,44921875;-645,6390991210938;447,2741394042969;-95,8630142211914;0,5917560458183289;0,24871757626533508;0,17413398623466492;0,010133969597518444
64;-349,2531433105469;137,4313507080078;41009,44921875;-660,5169067382812;435,6846923828125;-97,42810821533203;0,5856661200523376;0,24325811862945557;0,17205147445201874;0,009980746544897556
65;-349,2531433105469;137,4313507080078;41009,44921875;-603,0786743164062;436,1787414550781;-89,09334564208984;0,57823246717453;0,2404610812664032;0,1702694296836853;0,009843632578849792
66;-349,2531433105469;137,4313507080078;41009,44921875;-608,9862670898438;434,5697021484375;-89,70951080322266;0,5881110429763794;0,24431751668453217;0,17348769307136536;0,010110343806445599
67;-349,2531433105469;137,4313507080078;41009,44921875;-568,4337768554688;447,8831787109375;-84,95738220214844;0,5862327218055725;0,24199523031711578;0,17295706272125244;0,01007222943007946
68;-349,2531433105469;137,4313507080078;41009,44921875;-503,14154052734375;478,4023742675781;-76,1331787109375;0,5969955921173096;0,24645988643169403;0,17649662494659424;0,010357936844229698
69;-349,2531433105469;137,4313507080078;41009,44921875;-404,7937927246094;474,213623046875;-63,12894058227539;0,5966348052024841;0,2468167096376419;0,17686429619789124;0,01038682647049427
70;-349,2531433105469;137,4313507080078;41009,44921875;-410,3135681152344;488,2391662597656;-64,02671813964844;0,5738512873649597;0,2378576099872589;0,17057041823863983;0,009888830594718456
71;-349,2531433105469;137,4313507080078;41009,44921875;-330,6119689941406;490,2537536621094;-53,447265625;0,5826783776283264;0,24114704132080078;0,1734629124403;0,010118833743035793
72;-349,2531433105469;137,4313507080078;41009,44921875;-269,0132751464844;454,81097412109375;-43,4721565246582;0,5972392559051514;0,24314671754837036;0,17727068066596985;0,01042238250374794
73;-349,2531433105469;137,4313507080078;41009,44921875;-273,5467834472656;399,73040771484375;-42,169490814208984;0,5869807004928589;0,23959782719612122;0,1747165024280548;0,010223873890936375
74;-349,2531433105469;137,4313507080078;41009,44921875;-214,00387573242188;348,2795104980469;-33,71340560913086;0,5669857263565063;0,23379893600940704;0,16962654888629913;0,009809121489524841
75;-349,2531433105469;137,4313507080078;41009,44921875;-143,19168090820312;292,4541320800781;-22,560659408569336;0,5782796740531921;0,2369913011789322;0,17300081253051758;0,010078785941004753
76;-349,2531433105469;137,4313507080078;41009,44921875;-161,61306762695312;252,77590942382812;-24,5750789642334;0,5772392749786377;0,23597747087478638;0,17288170754909515;0,010069210082292557
77;-349,2531433105469;137,4313507080078;41009,44921875;-185,98020935058594;209,48793029785156;-26,975635528564453;0,5543934106826782;0,22741436958312988;0,16654744744300842;0,009547359310090542
78;-349,2531433105469;137,4313507080078;41009,44921875;-114,07848358154297;181,63075256347656;-17,07082748413086;0,5557906031608582;0,22662293910980225;0,16693918406963348;0,009579773992300034
79;-349,2531433105469;137,4313507080078;41009,44921875;-33,42323684692383;150,23922729492188;-5,898058891296387;0,5517077445983887;0,22413355112075806;0,16581374406814575;0,009479132480919361
80;-349,2531433105469;137,4313507080078;41009,44921875;14,608142852783203;116,59130096435547;1,949034333229065;0,5484066605567932;0,22130009531974792;0,16473308205604553;0,009397963993251324
81;-349,2531433105469;137,4313507080078;41009,44921875;119,99898529052734;98,31991577148438;16,550386428833008;0,547883927822113;0,2197890281677246;0,1645190268754959;0,009376784786581993
82;-349,2531433105469;137,4313507080078;41009,44921875;123,12246704101562;76,67974090576172;18,094675064086914;0,540323793888092;0,21553663909435272;0,16220760345458984;0,009190933778882027
83;-349,2531433105469;137,4313507080078;41009,44921875;142,65611267089844;61,011444091796875;21,92950439453125;0,5304128527641296;0,210129976272583;0,15907660126686096;0,00894761923700571
84;-349,2531433105469;137,4313507080078;41009,44921875;137,7097930908203;68,24533081054688;20,692964553833008;0,5282819271087646;0,20774605870246887;0,1581602692604065;0,008890757337212563
85;-349,2531433105469;137,4313507080078;41009,44921875;200,3123779296875;55,333194732666016;29,465078353881836;0,5145297050476074;0,2012883871793747;0,15405383706092834;0,008541788905858994
86;-349,2531433105469;137,4313507080078;41009,44921875;244,96446228027344;21,1726016998291;36,52248001098633;0,5197529792785645;0,20199187099933624;0,15547962486743927;0,00865413062274456
87;-349,2531433105469;137,4313507080078;41009,44921875;246,4891357421875;9,91549015045166;37,04256820678711;0,5195518732070923;0,2007114142179489;0,1551263928413391;0,008643602021038532
88;-349,2531433105469;137,4313507080078;41009,44921875;244,2628631591797;-14,89730453491211;37,211055755615234;0,5402339100837708;0,2077656239271164;0,1610042154788971;0,009136492386460304
89;-349,2531433105469;137,4313507080078;41009,44921875;350,20379638671875;-55,747718811035156;51,89021682739258;0,5436835885047913;0,2088124305009842;0,16165991127490997;0,009184991009533405
90;-349,2531433105469;137,4313507080078;41009,44921875;394,0911560058594;-91,03413391113281;58,46064376831055;0,5251368880271912;0,19824783504009247;0,15615609288215637;0,00870729610323906
91;-349,2531433105469;137,4313507080078;41009,44921875;414,3462219238281;-145,3453826904297;61,63714599609375;0,5428172945976257;0,20390716195106506;0,16108472645282745;0,009121391922235489
92;-349,2531433105469;137,4313507080078;41009,44921875;502,9157409667969;-183,36968994140625;74,49917602539062;0,5519927740097046;0,20766255259513855;0,16343507170677185;0,009340502321720123
93;-349,2531433105469;137,4313507080078;41009,44921875;505,0412292480469;-219,9573516845703;74,31763458251953;0,5439015626907349;0,20147490501403809;0,160750150680542;0,00909814890474081
