"B0 AOI1";;;;;;;;;;
"Index [1]";"X [mm]";"Y [mm]";"Z [mm]";"U [mm]";"V [mm]";"W [mm]";"Sigma_X [mm]";"Sigma_Y [mm]";"Sigma_Z [mm]";"sigma [pixel]"
0;-378,1942138671875;136,45712280273438;41009,19140625;0,0;0,0;0,0;0,3826318085193634;0,13807019591331482;0,10741327702999115;0,008823529817163944
1;-378,1942138671875;136,45712280273438;41009,19140625;31,251924514770508;122,2649917602539;-0,02104964293539524;0,5315549969673157;0,19194474816322327;0,16381849348545074;0,006792211439460516
2;-378,1942138671875;136,45712280273438;41009,19140625;55,17594528198242;197,30947875976562;0,6823931932449341;0,5061583518981934;0,18424713611602783;0,1573346108198166;0,0062779574654996395
3;-378,1942138671875;136,45712280273438;41009,19140625;58,286617279052734;287,5455627441406;-2,345513343811035;0,507710874080658;0,18644389510154724;0,1586640179157257;0,006375775206834078
4;-378,1942138671875;136,45712280273438;41009,19140625;73,26209259033203;356,2075500488281;-2,702159881591797;0,4919836223125458;0,18208451569080353;0,15403872728347778;0,006010411307215691
5;-378,1942138671875;136,45712280273438;41009,19140625;-25,240442276000977;418,61090087890625;-17,285133361816406;0,4950636625289917;0,18388491868972778;0,15448136627674103;0,006074744742363691
6;-378,1942138671875;136,45712280273438;41009,19140625;-28,579137802124023;454,5398254394531;-18,574665069580078;0,48878753185272217;0,18299569189548492;0,15274742245674133;0,005944979842752218
7;-378,1942138671875;136,45712280273438;41009,19140625;-72,35860443115234;484,9325256347656;-25,588895797729492;0,49125123023986816;0,18562762439250946;0,1538599282503128;0,006049569696187973
8;-378,1942138671875;136,45712280273438;41009,19140625;-49,745033264160156;518,0139770507812;-23,323301315307617;0,5047612190246582;0,19108834862709045;0,15742191672325134;0,006372362375259399
9;-378,1942138671875;136,45712280273438;41009,19140625;-117,17829132080078;551,9697875976562;-32,3477783203125;0,5080865621566772;0,19312651455402374;0,15813694894313812;0,006460852921009064
10;-378,1942138671875;136,45712280273438;41009,19140625;-152,82699584960938;577,808837890625;-37,348060607910156;0,5292710065841675;0,2011910378932953;0,16395142674446106;0,006957351695746183
11;-378,1942138671875;136,45712280273438;41009,19140625;-242,58592224121094;570,1924438476562;-48,91062545776367;0,5256607532501221;0,2011163830757141;0,16279564797878265;0,006899672094732523
12;-378,1942138671875;136,45712280273438;41009,19140625;-272,0738525390625;598,3214111328125;-53,75693893432617;0,49965333938598633;0,19560430943965912;0,1562713235616684;0,006379749625921249
13;-378,1942138671875;136,45712280273438;41009,19140625;-255,5260772705078;646,2378540039062;-52,734046936035156;0,5162098407745361;0,2030973732471466;0,16114959120750427;0,006796623580157757
14;-378,1942138671875;136,45712280273438;41009,19140625;-335,13214111328125;660,7019653320312;-63,91234588623047;0,5161241888999939;0,20382815599441528;0,1607212871313095;0,0068131256848573685
15;-378,1942138671875;136,45712280273438;41009,19140625;-371,91656494140625;710,3425903320312;-69,77058410644531;0,521825909614563;0,20650015771389008;0,1619534194469452;0,006959457881748676
16;-378,1942138671875;136,45712280273438;41009,19140625;-391,13250732421875;721,8047485351562;-72,6505126953125;0,5342842936515808;0,21071147918701172;0,16477981209754944;0,007240604609251022
17;-378,1942138671875;136,45712280273438;41009,19140625;-430,532470703125;749,0706787109375;-78,6610107421875;0,5158605575561523;0,20821577310562134;0,16034981608390808;0,006900368258357048
18;-378,1942138671875;136,45712280273438;41009,19140625;-498,1393737792969;736,6080322265625;-87,00642395019531;0,5237590670585632;0,21208640933036804;0,1623406708240509;0,007109637837857008
19;-378,1942138671875;136,45712280273438;41009,19140625;-567,9845581054688;743,326416015625;-97,02783203125;0,5379974246025085;0,21768225729465485;0,1659662127494812;0,007453043945133686
20;-378,1942138671875;136,45712280273438;41009,19140625;-528,4410400390625;759,07470703125;-91,85493469238281;0,512933075428009;0,20985731482505798;0,15838654339313507;0,006906847003847361
21;-378,1942138671875;136,45712280273438;41009,19140625;-451,9284973144531;792,8387451171875;-83,8265380859375;0,5336775779724121;0,21835264563560486;0,1640567183494568;0,0074064903892576694
