"B0 AOI1";;;;;;;;;;
"Index [1]";"X [mm]";"Y [mm]";"Z [mm]";"U [mm]";"V [mm]";"W [mm]";"Sigma_X [mm]";"Sigma_Y [mm]";"Sigma_Z [mm]";"sigma [pixel]"
0;-356,1358642578125;96,00934600830078;40729,83203125;0,0;0,0;0,0;0,3728073239326477;0,1343052238225937;0,1050233319401741;0,008566297590732574
1;-356,1358642578125;96,00934600830078;40729,83203125;4,286550045013428;53,659385681152344;-0,6313320994377136;0,5203917622566223;0,18819564580917358;0,16403932869434357;0,006768610794097185
2;-356,1358642578125;96,00934600830078;40729,83203125;14,000528335571289;81,40003204345703;0,2916160225868225;0,4666004776954651;0,16995887458324432;0,14761130511760712;0,005456326529383659
3;-356,1358642578125;96,00934600830078;40729,83203125;3,7696971893310547;131,48817443847656;-2,109018087387085;0,46984511613845825;0,17252232134342194;0,14910273253917694;0,005590994842350483
4;-356,1358642578125;96,00934600830078;40729,83203125;8,247895240783691;169,57908630371094;-2,471247911453247;0,47921204566955566;0,17767374217510223;0,15266075730323792;0,005872894078493118
5;-356,1358642578125;96,00934600830078;40729,83203125;-95,52291870117188;216,65545654296875;-17,194608688354492;0,4980032444000244;0,18331152200698853;0,1563367396593094;0,0062019797042012215
6;-356,1358642578125;96,00934600830078;40729,83203125;-98,89532470703125;245,48934936523438;-18,11510467529297;0,4988582134246826;0,18591739237308502;0,15762904286384583;0,0063280933536589146
7;-356,1358642578125;96,00934600830078;40729,83203125;-142,52667236328125;278,9848327636719;-24,296751022338867;0,48328015208244324;0,18086272478103638;0,152452751994133;0,005930153653025627
8;-356,1358642578125;96,00934600830078;40729,83203125;-116,46834564208984;318,25146484375;-21,613609313964844;0,4986579716205597;0,18886367976665497;0,15796779096126556;0,006384828127920628
9;-356,1358642578125;96,00934600830078;40729,83203125;-181,00216674804688;363,0827331542969;-31,046009063720703;0,5027679204940796;0,19155840575695038;0,15917646884918213;0,006503327749669552
