"B0 AOI2";;;;;;;;;;
"Index [1]";"X [mm]";"Y [mm]";"Z [mm]";"U [mm]";"V [mm]";"W [mm]";"Sigma_X [mm]";"Sigma_Y [mm]";"Sigma_Z [mm]";"sigma [pixel]"
0;2424,6240234375;-307,2074890136719;50716,21484375;0,0;0,0;0,0;0,60285484790802;0,1438753604888916;0,14054445922374725;0,013864562846720219
1;2424,6240234375;-307,2074890136719;50716,21484375;-44,42177200317383;924,4547729492188;-100,29015350341797;0,7127969861030579;0,18034304678440094;0,17181396484375;0,00978301465511322
2;2424,6240234375;-307,2074890136719;50716,21484375;-41,33481216430664;923,9719848632812;-105,13025665283203;0,7184673547744751;0,18160691857337952;0,17403484880924225;0,009922506287693977
3;2424,6240234375;-307,2074890136719;50716,21484375;-48,35919189453125;912,21630859375;-103,9305648803711;0,7237882018089294;0,18391075730323792;0,17647959291934967;0,010136904194951057
4;2424,6240234375;-307,2074890136719;50716,21484375;-20,564268112182617;913,396728515625;-106,86820220947266;0,7209112644195557;0,18297654390335083;0,1767474263906479;0,010083973407745361
5;2424,6240234375;-307,2074890136719;50716,21484375;-39,25559616088867;890,8770751953125;-105,69624328613281;0,705292820930481;0,17920762300491333;0,17409484088420868;0,009758285246789455
6;2424,6240234375;-307,2074890136719;50716,21484375;-13,072328567504883;898,6456909179688;-104,79438018798828;0,7097945213317871;0,18044479191303253;0,17643266916275024;0,009908212348818779
7;2424,6240234375;-307,2074890136719;50716,21484375;8,766274452209473;887,7391967773438;-106,41888427734375;0,7165329456329346;0,18280623853206635;0,17995379865169525;0,010147089138627052
8;2424,6240234375;-307,2074890136719;50716,21484375;3,1475887298583984;873,9888916015625;-104,19639587402344;0,7108917236328125;0,18008168041706085;0,1786157339811325;0,009974702261388302
9;2424,6240234375;-307,2074890136719;50716,21484375;-31,59183692932129;868,8187255859375;-100,75917053222656;0,7297182679176331;0,18567097187042236;0,18568865954875946;0,010518332943320274
