"B0 AOI2";;;;;;;;;;
"Index [1]";"X [mm]";"Y [mm]";"Z [mm]";"U [mm]";"V [mm]";"W [mm]";"Sigma_X [mm]";"Sigma_Y [mm]";"Sigma_Z [mm]";"sigma [pixel]"
0;2318,4765625;469,1558532714844;50618,72265625;0,0;0,0;0,0;0,6293061971664429;0,19438578188419342;0,19327403604984283;0,013864562846720219
1;2318,4765625;469,1558532714844;50618,72265625;5,699554920196533;-29,478973388671875;1,6633654832839966;0,7440741658210754;0,23688241839408875;0,2450070083141327;0,00978301465511322
2;2318,4765625;469,1558532714844;50618,72265625;8,740633964538574;-30,24051856994629;-3,1773107051849365;0,7499914765357971;0,24004828929901123;0,24662739038467407;0,009922506287693977
3;2318,4765625;469,1558532714844;50618,72265625;0,8967868089675903;-41,52340316772461;-1,9806963205337524;0,7555447816848755;0,24341219663619995;0,2499638795852661;0,010136904194951057
4;2318,4765625;469,1558532714844;50618,72265625;28,709653854370117;-42,40802001953125;-4,878105163574219;0,7525395750999451;0,24390016496181488;0,2485818713903427;0,010083973407745361
5;2318,4765625;469,1558532714844;50618,72265625;8,445695877075195;-63,58477020263672;-3,7366416454315186;0,7362338900566101;0,24032790958881378;0,24345077574253082;0,009758285246789455
6;2318,4765625;469,1558532714844;50618,72265625;35,126522064208984;-57,78060531616211;-2,786032199859619;0,7409308552742004;0,243660107254982;0,2450888305902481;0,009908212348818779
7;2318,4765625;469,1558532714844;50618,72265625;56,148807525634766;-70,27482604980469;-4,367807865142822;0,7479621171951294;0,24861660599708557;0,24837663769721985;0,010147089138627052
8;2318,4765625;469,1558532714844;50618,72265625;49,5406379699707;-83,65821838378906;-2,160123348236084;0,742071807384491;0,24693532288074493;0,2443053126335144;0,009974702261388302
9;2318,4765625;469,1558532714844;50618,72265625;14,518616676330566;-86,37905883789062;1,2130131721496582;0,761720597743988;0,2568294107913971;0,25199052691459656;0,010518332943320274
10;2318,4765625;469,1558532714844;50618,72265625;34,12727355957031;-90,76543426513672;1,740800142288208;0,7700422406196594;0,25805407762527466;0,2511770725250244;0,010611980222165585
11;2318,4765625;469,1558532714844;50618,72265625;18,115068435668945;-102,01142120361328;-3,498535394668579;0,786957859992981;0,26298588514328003;0,2542664110660553;0,010932461358606815
12;2318,4765625;469,1558532714844;50618,72265625;-3,798128128051758;-116,27185821533203;-3,036257266998291;0,7509543895721436;0,25731953978538513;0,24571619927883148;0,010350028984248638
13;2318,4765625;469,1558532714844;50618,72265625;-6,064418315887451;-123,26593780517578;-2,3095388412475586;0,756172776222229;0,26140591502189636;0,24712930619716644;0,0105257174000144
14;2318,4765625;469,1558532714844;50618,72265625;1,702942967414856;-123,87992095947266;-2,6735782623291016;0,7815022468566895;0,2689177095890045;0,25270265340805054;0,011047013103961945
15;2318,4765625;469,1558532714844;50618,72265625;-4,592158794403076;-128,9339599609375;-3,8349533081054688;0,7233268022537231;0,2579605281352997;0,23766383528709412;0,00998171977698803
16;2318,4765625;469,1558532714844;50618,72265625;-14,122879028320312;-140,3153839111328;-6,595640182495117;0,7813616394996643;0,27668580412864685;0,25357240438461304;0,01124704908579588
17;2318,4765625;469,1558532714844;50618,72265625;1,8768693208694458;-149,8563232421875;-3,4342358112335205;0,8036078214645386;0,28308120369911194;0,25804102420806885;0,011708569712936878
18;2318,4765625;469,1558532714844;50618,72265625;-3,576171398162842;-154,50686645507812;-2,065786838531494;0,7979668378829956;0,2832834720611572;0,2555040121078491;0,011645112186670303
19;2318,4765625;469,1558532714844;50618,72265625;1,685836672782898;-158,63412475585938;-2,547874927520752;0,7894109487533569;0,28357982635498047;0,25256237387657166;0,011543568223714828
20;2318,4765625;469,1558532714844;50618,72265625;4,664815425872803;-163,32876586914062;-1,2272439002990723;0,7830678224563599;0,28829219937324524;0,2519831955432892;0,011556296609342098
21;2318,4765625;469,1558532714844;50618,72265625;12,145540237426758;-184,50123596191406;-2,720599412918091;0,8064809441566467;0,28992775082588196;0,25434133410453796;0,011957084760069847
22;2318,4765625;469,1558532714844;50618,72265625;14,00088119506836;-199,14715576171875;-4,62460994720459;0,8304621577262878;0,29860225319862366;0,26002755761146545;0,012502867728471756
23;2318,4765625;469,1558532714844;50618,72265625;40,750816345214844;-203,05914306640625;-3,602367401123047;0,8490450978279114;0,3079705536365509;0,26506882905960083;0,012981373816728592
24;2318,4765625;469,1558532714844;50618,72265625;64,00611114501953;-204,7545623779297;-7,765470504760742;0,8344104886054993;0,3104531764984131;0,261807918548584;0,012834976427257061
25;2318,4765625;469,1558532714844;50618,72265625;96,17290496826172;-212,2000274658203;-9,73455810546875;0,8464068174362183;0,3114244043827057;0,2622033357620239;0,013066948391497135
26;2318,4765625;469,1558532714844;50618,72265625;84,94087219238281;-222,42251586914062;-6,776594638824463;0,8602891564369202;0,31685712933540344;0,26469627022743225;0,013405120000243187
27;2318,4765625;469,1558532714844;50618,72265625;78,20693969726562;-233,9166259765625;-6,4558916091918945;0,8628812432289124;0,3128686249256134;0,2617543041706085;0,013402314856648445
28;2318,4765625;469,1558532714844;50618,72265625;75,5617904663086;-242,5483856201172;-5,4883270263671875;0,8621266484260559;0,323010116815567;0,2635076940059662;0,013614783994853497
29;2318,4765625;469,1558532714844;50618,72265625;62,012569427490234;-250,39039611816406;-6,637035369873047;0,902817964553833;0,3279375433921814;0,2703356146812439;0,014348297379910946
